fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
85,train,831.4937133789062,108,13.159901266099393,6.086645587903487,0.022242207254824564,0.11287229929637156,0.9065420560747663
86,train,973.1348266601562,108,20.127925238850892,5.721645576999096,0.02394087100009832,0.12855048121433701,0.9345794392523364
87,train,1116.65283203125,108,18.755581468918265,10.499280533894488,0.021174201768446654,0.10865279791547039,0.9532710280373832
88,val,1117.106201171875,108,16.76623955758084,5.6603230412827505,0.021321492922287688,0.09166130534477897,0.9626168224299065
89,train,1171.4713134765625,108,22.009813893412918,9.669047822337637,0.025743399014605962,0.12612753266505172,0.9439252336448598
90,train,1709.4107666015625,108,20.132469565440307,9.62576992298726,0.025936418838917084,0.13199990973134867,0.9345794392523364
91,train,1308.3092041015625,108,12.510894474665138,12.466012334880451,0.018194446605339018,0.09946360318229867,0.9719626168224299
92,train,994.4522705078125,108,23.791116963985722,13.79025752584146,0.022327360924135783,0.12304524491230052,0.9813084112149533
93,train,1571.3177490234375,108,23.0395874063599,22.713076634476643,0.0249446298623937,0.1294116536318751,0.9345794392523364
94,val,442.3143005371094,108,27.371634911267794,8.455936906844396,0.02053485071814244,0.11787556866524318,0.9626168224299065
95,val,1183.4925537109375,108,21.18554369815236,9.069447478348357,0.027363019244388144,0.13000268936842826,0.9719626168224299
96,train,1475.185546875,108,26.28575731901893,8.1624960776334,0.037092801436896056,0.15480752057511915,0.9252336448598131
97,train,1138.0867919921875,108,21.526684154739236,4.7914309649044355,0.027922506322685985,0.13823432168157007,0.9439252336448598
98,val,1589.0233154296875,108,19.355729004536812,11.180964690285423,0.022038758260660866,0.12304591146171803,0.9626168224299065
99,test,1182.5716552734375,108,19.737759093376326,7.763855450515541,0.020407098822442224,0.11814129578991704,0.9532710280373832
100,train,904.0460815429688,108,15.518407613044351,25.607562929083645,0.024509306263269793,0.11114024909440594,0.9439252336448598
101,train,1288.745849609375,108,23.677729733816598,11.614304956730686,0.03211444804498093,0.1748691998772069,0.9532710280373832
102,train,1117.52294921875,108,24.966810587592942,4.446276658590373,0.025685817598209586,0.14171008667589197,0.9813084112149533
