epoch,train_loss,val_loss,val_median_mm,val_win_rate,baseline_median_mm,stopped_median_mm
1,0.008060265412294659,0.0031574240420013666,0.023867055773735046,0.952939393939394,0.12304393947124481,0.4019077718257904
2,0.00346405727858301,0.0030502662993967533,0.023571394383907318,0.9537575757575758,0.12304393947124481,0.4019077718257904
3,0.00324128392990148,0.002975394483655691,0.023550033569335938,0.9545227272727272,0.12304393947124481,0.4019077718257904
4,0.0031640754589660407,0.003036813111975789,0.024242253974080086,0.9521439393939394,0.12304393947124481,0.4019077718257904
5,0.003127465138941545,0.0029924088157713413,0.023778727278113365,0.9515757575757576,0.12304393947124481,0.4019077718257904
6,0.003096939520023283,0.003027374856173992,0.02382095344364643,0.9528409090909091,0.12304393947124481,0.4019077718257904
7,0.00306951632934752,0.0029496499337255955,0.023428549990057945,0.955060606060606,0.12304393947124481,0.4019077718257904
8,0.00304494067071613,0.0029057571664452553,0.02341250330209732,0.9547045454545454,0.12304393947124481,0.4019077718257904
9,0.0030295905798080644,0.0029455963522195816,0.02350916713476181,0.9546818181818182,0.12304393947124481,0.4019077718257904
10,0.003018501298752336,0.0028890972025692463,0.023280208930373192,0.9539090909090909,0.12304393947124481,0.4019077718257904
11,0.0030024463361317485,0.0029149430338293314,0.023444948717951775,0.9547878787878787,0.12304393947124481,0.4019077718257904
12,0.0029864939856547213,0.0029746501240879297,0.02398230880498886,0.951310606060606,0.12304393947124481,0.4019077718257904
13,0.002977154019130264,0.00286693312227726,0.02312447689473629,0.9546060606060606,0.12304393947124481,0.4019077718257904
14,0.0029730690408491006,0.0030249322298914194,0.023873724043369293,0.951969696969697,0.12304393947124481,0.4019077718257904
15,0.0029531957294533203,0.002961494494229555,0.02372622862458229,0.9518636363636364,0.12304393947124481,0.4019077718257904
16,0.0029484075014561298,0.002943189349025488,0.023440005257725716,0.9520151515151515,0.12304393947124481,0.4019077718257904
17,0.0029431737823299303,0.002868517767637968,0.0231698639690876,0.9539242424242425,0.12304393947124481,0.4019077718257904
18,0.0029307820723407665,0.0028533046133816242,0.023136595264077187,0.9543863636363636,0.12304393947124481,0.4019077718257904
19,0.00293079981395978,0.0028500244952738285,0.023055166006088257,0.9544318181818182,0.12304393947124481,0.4019077718257904
20,0.002926253741467825,0.0028716877568513155,0.023137860000133514,0.9542272727272727,0.12304393947124481,0.4019077718257904
21,0.002919804414119808,0.0029009860008955,0.023234540596604347,0.9543030303030303,0.12304393947124481,0.4019077718257904
22,0.002920439076583475,0.0028902876656502485,0.023115618154406548,0.9546742424242424,0.12304393947124481,0.4019077718257904
23,0.002908198199493488,0.0028716938104480505,0.02323795296251774,0.9538409090909091,0.12304393947124481,0.4019077718257904
24,0.002897351214683405,0.002886006375774741,0.023344429209828377,0.9542045454545455,0.12304393947124481,0.4019077718257904
25,0.002900832671391854,0.0028737422544509172,0.02313211001455784,0.9539621212121212,0.12304393947124481,0.4019077718257904
