epoch,median_error_mm,mean_error_mm,p90_error_mm,rmse_mm,win_rate,baseline_median_mm,stopped_median_mm,vs_baseline_%
0,0.5086942911148071,0.5510339736938477,0.8491826057434082,0.6120380759239197,0.020769260564744162,0.12180144339799881,0.38954973220825195,-317.64225194983607
5,0.023608148097991943,0.028516333550214767,0.053182605654001236,0.05147816240787506,0.9517372274082968,0.12180144339799881,0.38954973220825195,80.61751368508017
10,0.023134484887123108,0.02795085683465004,0.05227424576878548,0.04931541532278061,0.9540070496184685,0.12180144339799881,0.38954973220825195,81.00639512823442
15,0.02349773608148098,0.02823054976761341,0.05275999382138252,0.04505643621087074,0.9517682147422241,0.12180144339799881,0.38954973220825195,80.70816287069793
20,0.022964157164096832,0.027618136256933212,0.05199700966477394,0.04065942391753197,0.9543053027075183,0.12180144339799881,0.38954973220825195,81.14623560817824
25,0.022947974503040314,0.02779662422835827,0.05185166373848915,0.05355198308825493,0.9537281636131232,0.12180144339799881,0.38954973220825195,81.1595217077556
