cluster,n,model_mm,physics_mm,improvement_%
0,338,0.02969948086664958,0.11317412272993954,73.75771055233214
1,374,0.03131555282989848,0.12872329836915736,75.67219514520939
2,271,0.03100410874762288,0.12344493711998393,74.88426056915722
3,38,0.03716284654918059,0.1398074458388347,73.4185498302997
4,201,0.029505829580687783,0.12051977466717564,75.51785201874934
5,228,0.027588801843377912,0.11692034110301308,76.40376209724644
6,50,0.03243663310910966,0.16919924171372758,80.82932714084498
